Date,City,AGR,Casino Square Feet,Admissions,AGR Per Square Foot,AGR Per Admission,State Share,Local Share
"January, 2010",Alton,6474000,23000,86535,281,75,821000,410000
"January, 2010",East Peoria,9438000,26116,103584,361,91,1151000,575000
"January, 2010",Rock Island,5950000,42000,100593,142,59,696000,398000
"January, 2010",Metropolis,8620000,30985,76460,278,113,1015000,507000
"January, 2010",Aurora,14988000,41384,128605,362,117,1756000,878000
"January, 2010",East Saint Louis,11908000,40000,174512,298,68,1540000,770000
"January, 2010",Elgin,24112000,29850,178005,808,135,2767000,1384000
"January, 2010",Joliet,34027000,89000,316164,382,107,4035000,2017000
"February, 2010",Alton,6671000,23000,88387,290,75,844000,422000
"February, 2010",East Peoria,9138000,26116,105654,350,86,1125000,563000
"February, 2010",Rock Island,6117000,42000,104030,146,59,716000,410000
"February, 2010",Metropolis,8990000,30985,79767,290,113,1059000,529000
"February, 2010",Aurora,15864000,41384,128410,383,124,2282000,922000
"February, 2010",East Saint Louis,12778000,40000,181740,319,70,1641000,821000
"February, 2010",Elgin,21912000,29850,167868,734,131,4104000,1263000
"February, 2010",Joliet,32753000,89000,305014,368,107,5144000,1942000
"March, 2010",Alton,7096000,23000,95021,309,75,900000,450000
"March, 2010",East Peoria,10914000,26116,121405,418,90,1671000,667000
"March, 2010",Rock Island,6951000,42000,119359,165,58,814000,467000
"March, 2010",Metropolis,9783000,30985,83921,316,117,1326000,573000
"March, 2010",Aurora,16975000,41384,134313,410,126,3239000,983000
"March, 2010",East Saint Louis,12168000,40000,180225,304,68,2466000,789000
"March, 2010",Elgin,25467000,29850,189186,853,135,5910000,1463000
"March, 2010",Joliet,36443000,89000,330458,409,110,7713000,2153000
"April, 2010",Alton,6647000,23000,88547,289,75,983000,421000
"April, 2010",East Peoria,9592000,26116,108615,367,88,1896000,588000
"April, 2010",Rock Island,6807000,42000,113772,162,60,856000,454000
"April, 2010",Metropolis,9382000,30985,79887,303,117,1802000,549000
"April, 2010",Aurora,15621000,41384,126183,377,124,3658000,907000
"April, 2010",East Saint Louis,10728000,40000,167263,268,64,2212000,704000
"April, 2010",Elgin,24952000,29850,179770,836,139,7046000,1427000
"April, 2010",Joliet,34468000,89000,298910,387,115,8327000,2022000
"May, 2010",Alton,6863000,23000,91460,298,75,1384000,435000
"May, 2010",East Peoria,10297000,26116,115612,394,89,2033000,630000
"May, 2010",Rock Island,7102000,42000,127190,169,56,1370000,482000
"May, 2010",Metropolis,10094000,30985,86605,326,117,1940000,591000
"May, 2010",Aurora,15145000,41384,127805,366,118,3843000,885000
"May, 2010",East Saint Louis,11381000,40000,175792,285,65,2791000,745000
"May, 2010",Elgin,25406000,29850,186419,851,136,8452000,1457000
"May, 2010",Joliet,34959000,89000,308468,392,113,9927000,2057000
"June, 2010",Alton,6017000,23000,84869,262,71,1223000,386000
"June, 2010",East Peoria,9388000,26116,108566,359,86,2298000,578000
"June, 2010",Rock Island,6476000,42000,113064,154,57,1246000,437000
"June, 2010",Metropolis,9341000,30985,83382,301,112,2112000,550000
"June, 2010",Aurora,14678000,41384,117821,355,125,4272000,852000
"June, 2010",East Saint Louis,9635000,40000,167605,241,57,2503000,649000
"June, 2010",Elgin,22837000,29850,170968,765,134,7764000,1313000
"June, 2010",Joliet,30920000,89000,277084,347,111,9607000,1824000
"July, 2010",Alton,6848000,23000,91959,298,74,1382000,434000
"July, 2010",East Peoria,10116000,26116,121666,387,83,2519000,627000
"July, 2010",Rock Island,7503000,42000,140259,179,53,1453000,515000
"July, 2010",Metropolis,10569000,30985,94753,341,112,2568000,623000
"July, 2010",Aurora,15317000,41384,129683,370,118,4901000,896000
"July, 2010",East Saint Louis,11261000,40000,192470,282,59,3162000,756000
"July, 2010",Elgin,24957000,29850,192081,836,130,9968000,1440000
"July, 2010",Joliet,34086000,89000,310010,382,109,11100000,2014000
"August, 2010",Alton,6630000,23000,89812,288,74,1502000,421000
"August, 2010",East Peoria,9694000,26116,117844,371,82,2596000,603000
"August, 2010",Rock Island,6863000,42000,124032,163,55,1514000,467000
"August, 2010",Metropolis,9585000,30985,84916,309,113,2395000,564000
"August, 2010",Aurora,15298000,41384,123613,370,124,5219000,889000
"August, 2010",East Saint Louis,10535000,40000,177635,263,59,3252000,704000
"August, 2010",Elgin,24326000,29850,181993,815,134,10094000,1398000
"August, 2010",Joliet,32435000,89000,287010,364,113,11990000,1909000
"September, 2010",Alton,6220000,23000,83268,270,75,1566000,394000
"September, 2010",East Peoria,9356000,26116,108999,358,86,2791000,577000
"September, 2010",Rock Island,6702000,42000,119859,160,56,1628000,455000
"September, 2010",Metropolis,9428000,30985,83811,304,112,2760000,555000
"September, 2010",Aurora,14573000,41384,117614,352,124,4971000,846000
"September, 2010",East Saint Louis,10510000,40000,169843,263,62,3275000,695000
"September, 2010",Elgin,23508000,29850,169556,788,139,10616000,1345000
"September, 2010",Joliet,29287000,89000,273411,329,107,11531000,1738000
"October, 2010",Alton,6533000,23000,86859,284,75,1644000,414000
"October, 2010",East Peoria,10163000,26116,108657,389,94,3012000,617000
"October, 2010",Rock Island,6880000,42000,117978,164,58,1666000,462000
"October, 2010",Metropolis,10109000,30985,81608,326,124,2943000,587000
"October, 2010",Aurora,14928000,41384,122393,361,122,5350000,869000
"October, 2010",East Saint Louis,10440000,40000,166166,261,63,3725000,688000
"October, 2010",Elgin,25738000,29850,181798,862,142,11946000,1469000
"October, 2010",Joliet,31872000,89000,281810,358,113,12937000,1875000
"November, 2010",Alton,5788000,23000,77199,252,75,1457000,367000
"November, 2010",East Peoria,8794000,26116,96279,337,91,2956000,536000
"November, 2010",Rock Island,6287000,42000,108437,150,58,1523000,423000
"November, 2010",Metropolis,8563000,30985,71049,276,121,2720000,499000
"November, 2010",Aurora,14017000,41384,118423,339,118,5844000,819000
"November, 2010",East Saint Louis,9600000,40000,145591,240,66,3411000,626000
"November, 2010",Elgin,22300000,29850,164120,747,136,10363000,1279000
"November, 2010",Joliet,29974000,89000,248690,336,120,12684000,1747000
"December, 2010",Alton,5587000,23000,71142,243,79,1518000,351000
"December, 2010",East Peoria,8426000,26116,90786,323,93,2920000,512000
"December, 2010",Rock Island,5797000,42000,94029,138,62,1620000,384000
"December, 2010",Metropolis,8524000,30985,66329,275,129,2903000,493000
"December, 2010",Aurora,13770000,41384,113158,333,122,5735000,802000
"December, 2010",East Saint Louis,10065000,40000,147270,252,68,3566000,651000
"December, 2010",Elgin,21621000,29850,161275,724,134,10052000,1242000
"December, 2010",Joliet,28734000,89000,242398,322,118,12010000,1679000
"January, 2011",Alton,5604000,23000,75185,244,75,722000,355000
"January, 2011",East Peoria,9209000,26116,98362,353,94,1118000,559000
"January, 2011",Rock Island,6487000,42000,102415,154,63,751000,427000
"January, 2011",Metropolis,8306000,30985,66787,268,124,964000,482000
"January, 2011",Aurora,14409000,41384,118336,348,122,1678000,839000
"January, 2011",East Saint Louis,9499000,40000,148465,237,64,1268000,623000
"January, 2011",Elgin,22848000,29850,165215,765,138,2615000,1308000
"January, 2011",Joliet,32212000,89000,282267,361,114,3786000,1893000
"February, 2011",Alton,6267000,23000,76895,272,82,781000,390000
"February, 2011",East Peoria,9452000,26116,95255,362,99,1136000,568000
"February, 2011",Rock Island,6565000,42000,102463,156,64,759000,431000
"February, 2011",Metropolis,8655000,30985,70397,279,123,1006000,503000
"February, 2011",Aurora,13419000,41384,111442,324,120,1777000,782000
"February, 2011",East Saint Louis,11671000,40000,154817,292,75,1477000,738000
"February, 2011",Elgin,20938000,29850,150110,701,139,3803000,1197000
"February, 2011",Joliet,31249000,89000,262763,351,118,4659000,1825000
"March, 2011",Alton,7055000,1103,84436,6396,84,874000,437000
"March, 2011",East Peoria,10679000,26116,111040,409,96,1616000,645000
"March, 2011",Rock Island,7655000,42000,121657,182,63,887000,504000
"March, 2011",Metropolis,7983000,30985,63303,258,126,925000,462000
"March, 2011",Aurora,16266000,41384,137265,393,118,3121000,951000
"March, 2011",East Saint Louis,11729000,40000,168321,293,70,2102000,755000
"March, 2011",Elgin,26013000,29850,180152,871,144,5902000,1481000
"March, 2011",Joliet,34463000,89000,326995,387,105,7071000,2050000
"April, 2011",Alton,6690000,23000,81628,291,82,879000,416000
"April, 2011",East Peoria,10648000,26116,105413,408,101,2074000,638000
"April, 2011",Rock Island,8110000,42000,126124,193,64,1223000,532000
"April, 2011",Metropolis,7362000,30985,56307,238,131,1397000,424000
"April, 2011",Aurora,16151000,41384,132954,390,121,3605000,941000
"April, 2011",East Saint Louis,11221000,40000,160541,281,70,2285000,722000
"April, 2011",Elgin,25669000,29850,173597,860,148,7146000,1457000
"April, 2011",Joliet,34469000,89000,303024,387,113,8011000,2027000
"May, 2011",Alton,6485000,23000,82303,282,79,1300000,407000
"May, 2011",East Peoria,9442000,26116,100853,362,94,1854000,573000
"May, 2011",Rock Island,7448000,42000,114101,177,65,1418000,487000
"May, 2011",Metropolis,2279000,30985,15429,74,148,430000,129000
"May, 2011",Aurora,15933000,41384,132334,385,120,3909000,929000
"May, 2011",East Saint Louis,10960000,40000,164216,274,67,2500000,712000
"May, 2011",Elgin,24542000,29850,169170,822,145,8088000,1396000
"May, 2011",Joliet,32944000,89000,307830,370,107,8980000,1955000
"June, 2011",Alton,5949000,23000,82087,259,72,1205000,380000
"June, 2011",East Peoria,9518000,26116,98815,364,96,2311000,575000
"June, 2011",Rock Island,6823000,42000,111473,162,61,1305000,453000
"June, 2011",Metropolis,8707000,30985,70777,281,123,1665000,506000
"June, 2011",Aurora,14339000,41384,128477,346,112,4200000,845000
"June, 2011",East Saint Louis,10446000,40000,159944,261,65,2670000,682000
"June, 2011",Elgin,23629000,29850,162932,792,145,8005000,1344000
"June, 2011",Joliet,32295000,89000,271405,362,118,9941000,1886000
"July, 2011",Alton,6390000,23000,87689,278,73,1294000,407000
"July, 2011",East Peoria,10699000,26116,108653,410,98,2624000,644000
"July, 2011",Rock Island,7792000,42000,129402,186,60,1537000,519000
"July, 2011",Metropolis,10230000,30985,79438,330,129,2125000,591000
"July, 2011",Aurora,15710000,41384,141010,380,111,4913000,926000
"July, 2011",East Saint Louis,11382000,40000,181855,285,63,3020000,751000
"July, 2011",Elgin,22964000,29850,172801,769,133,9054000,1321000
"July, 2011",Des Plaines,17477000,43687,270726,400,65,2289000,1145000
"July, 2011",Joliet,31963000,89000,289477,359,110,10314000,1888000
"August, 2011",Alton,5702000,23000,81288,248,70,1168000,366000
"August, 2011",East Peoria,9383000,26116,100934,359,93,2514000,570000
"August, 2011",Rock Island,7204000,42000,114747,172,63,1736000,475000
"August, 2011",Metropolis,8398000,30985,69820,271,120,2029000,490000
"August, 2011",Aurora,14703000,41384,125666,355,117,5030000,861000
"August, 2011",East Saint Louis,10342000,40000,166718,259,62,3177000,684000
"August, 2011",Elgin,18465000,29850,140039,619,132,7666000,1063000
"August, 2011",Des Plaines,34116000,43687,414257,781,82,6314000,2120000
"August, 2011",Joliet,28250000,89000,260398,317,108,9603000,1673000
"September, 2011",Alton,5890000,23000,78874,256,75,1483000,373000
"September, 2011",East Peoria,9452000,26116,97968,362,96,2795000,571000
"September, 2011",Rock Island,7241000,42000,107602,172,67,1737000,470000
"September, 2011",Metropolis,8727000,30985,70521,282,124,2105000,507000
"September, 2011",Aurora,13062000,41384,120143,316,109,4486000,773000
"September, 2011",East Saint Louis,10925000,40000,164289,273,67,3333000,711000
"September, 2011",Elgin,17884000,29850,135117,599,132,7571000,1029000
"September, 2011",Des Plaines,30149000,43687,337216,690,89,7795000,1845000
"September, 2011",Joliet,27046000,89000,249687,303,108,10545000,1602000
"October, 2011",Alton,5746000,23000,73332,250,78,1440000,361000
"October, 2011",East Peoria,9411000,26116,97391,360,97,2783000,568000
"October, 2011",Rock Island,7199000,42000,103492,171,70,1723000,463000
"October, 2011",Metropolis,8169000,30985,70563,264,116,2170000,479000
"October, 2011",Aurora,13325000,41384,118209,322,113,4567000,784000
"October, 2011",East Saint Louis,10407000,40000,162717,260,64,3616000,683000
"October, 2011",Elgin,18176000,29850,139631,609,130,8459000,1048000
"October, 2011",Des Plaines,30694000,43687,318178,703,96,9699000,1853000
"October, 2011",Joliet,28814000,89000,248954,323,115,11242000,1689000
"November, 2011",Alton,5601000,23000,68591,244,82,1397000,349000
"November, 2011",East Peoria,8642000,26116,92785,331,93,2889000,525000
"November, 2011",Rock Island,6486000,42000,96161,154,67,1756000,420000
"November, 2011",Metropolis,7945000,30985,64424,256,123,2314000,462000
"November, 2011",Aurora,12886000,41384,115530,311,112,5184000,760000
"November, 2011",East Saint Louis,10135000,40000,150263,253,67,3595000,657000
"November, 2011",Elgin,16807000,29850,128917,563,130,7821000,969000
"November, 2011",Des Plaines,32039000,43687,296751,733,108,11006000,1899000
"November, 2011",Joliet,26905000,89000,240395,302,111,10731000,1586000
"December, 2011",Alton,5575000,23000,71370,242,78,1397000,350000
"December, 2011",East Peoria,9036000,26116,98625,346,92,3134000,550000
"December, 2011",Rock Island,6855000,42000,102742,163,67,1988000,446000
"December, 2011",Metropolis,8720000,30985,68838,281,127,2536000,505000
"December, 2011",Aurora,12979000,41384,117243,314,111,5426000,766000
"December, 2011",East Saint Louis,11165000,40000,164034,279,68,3957000,722000
"December, 2011",Elgin,18973000,29850,147721,636,128,8833000,1096000
"December, 2011",Des Plaines,32998000,43687,308767,755,107,13403000,1959000
"December, 2011",Joliet,29062000,89000,253908,326,114,12284000,1707000
"January, 2012",Alton,5453000,23000,68365,237,80,682000,341000
"January, 2012",East Peoria,9383000,26116,92587,359,101,1123000,562000
"January, 2012",Rock Island,6677000,42000,95736,159,70,763000,430000
"January, 2012",Metropolis,7658000,30985,62559,247,122,891000,445000
"January, 2012",Aurora,10925000,41384,99636,264,110,1292000,646000
"January, 2012",East Saint Louis,10724000,40000,152015,268,71,1376000,688000
"January, 2012",Elgin,18439000,29850,138810,618,133,2122000,1061000
"January, 2012",Des Plaines,30307000,43687,291527,694,104,4012000,1807000
"January, 2012",Joliet,27354000,89000,234295,307,116,3204000,1602000
"February, 2012",Alton,6189000,23000,74825,269,83,769000,384000
"February, 2012",East Peoria,10145000,26116,104235,388,97,1223000,611000
"February, 2012",Rock Island,7508000,42000,109753,179,68,861000,485000
"February, 2012",Metropolis,9078000,30985,70528,293,129,1049000,524000
"February, 2012",Aurora,13405000,41384,117825,324,114,1576000,788000
"February, 2012",East Saint Louis,11730000,40000,165917,293,71,1505000,752000
"February, 2012",Elgin,19442000,29850,147861,651,131,3206000,1120000
"February, 2012",Des Plaines,37537000,43687,333752,859,112,8129000,2211000
"February, 2012",Joliet,29896000,89000,255861,335,116,4273000,1751000
"March, 2012",Alton,6396000,23000,77447,278,83,794000,397000
"March, 2012",East Peoria,10502000,26116,107737,402,97,1643000,633000
"March, 2012",Rock Island,8313000,42000,118456,198,70,950000,534000
"March, 2012",Metropolis,9082000,30985,72430,293,125,1114000,527000
"March, 2012",Aurora,13908000,41384,131369,336,106,2646000,827000
"March, 2012",East Saint Louis,12056000,40000,166841,301,72,2253000,770000
"March, 2012",Elgin,20107000,29850,158537,674,127,4235000,1164000
"March, 2012",Des Plaines,34828000,43687,339911,797,102,10033000,2081000
"March, 2012",Joliet,31830000,89000,276179,357,115,6090000,1867000
"April, 2012",Alton,6132000,23000,71342,267,86,756000,378000
"April, 2012",East Peoria,9782000,26116,99838,375,98,1911000,589000
"April, 2012",Rock Island,7462000,42000,109924,178,68,1228000,483000
"April, 2012",Metropolis,8435000,30985,65808,272,128,1608000,488000
"April, 2012",Aurora,13503000,41384,118944,326,114,2688000,794000
"April, 2012",East Saint Louis,11120000,40000,150612,278,74,2247000,707000
"April, 2012",Elgin,19123000,29850,134404,641,142,4677000,1091000
"April, 2012",Des Plaines,35579000,43687,322098,814,110,12208000,2101000
"April, 2012",Joliet,31050000,89000,272776,348,113,6929000,1825000
"May, 2012",Alton,5822000,23000,74279,253,78,1105000,365000
"May, 2012",East Peoria,9828000,26116,101978,376,96,1924000,593000
"May, 2012",Rock Island,7331000,42000,108384,175,68,1391000,475000
"May, 2012",Metropolis,8179000,30985,66777,264,122,1565000,476000
"May, 2012",Aurora,12643000,41384,117699,306,107,3080000,750000
"May, 2012",East Saint Louis,10784000,40000,157082,270,69,2522000,696000
"May, 2012",Elgin,18759000,29850,138724,628,135,5436000,1077000
"May, 2012",Des Plaines,35277000,43687,335875,808,105,13902000,2100000
"May, 2012",Joliet,29182000,89000,279774,327,104,7776000,1739000
"June, 2012",Alton,6045000,23000,73256,263,83,1204000,376000
"June, 2012",East Peoria,9919000,26116,101941,380,97,2418000,598000
"June, 2012",Rock Island,7456000,42000,113123,178,66,1418000,486000
"June, 2012",Metropolis,8104000,30985,64039,262,127,1573000,469000
"June, 2012",Aurora,12803000,41384,115168,309,111,3220000,755000
"June, 2012",East Saint Louis,11321000,40000,158296,283,72,2864000,724000
"June, 2012",Elgin,17547000,29850,136549,588,129,5769000,1014000
"June, 2012",Des Plaines,42545000,43687,325115,974,131,18472000,2452000
"June, 2012",Joliet,29681000,89000,273141,333,108,8551000,1757000
"July, 2012",Alton,6217000,23000,81777,270,76,1252000,393000
"July, 2012",East Peoria,9970000,26116,109242,382,91,2462000,608000
"July, 2012",Rock Island,7709000,42000,119821,184,64,1592000,505000
"July, 2012",Metropolis,8663000,30985,69267,280,125,2088000,502000
"July, 2012",Aurora,12594000,41384,117820,304,107,3699000,748000
"July, 2012",East Saint Louis,10984000,40000,171767,275,64,3001000,721000
"July, 2012",Elgin,17524000,29850,142395,587,123,5980000,1019000
"July, 2012",Des Plaines,36111000,43687,354037,827,102,16958000,2160000
"July, 2012",Joliet,32769000,89000,291841,368,112,10315000,1931000
"August, 2012",Alton,6212000,23000,77684,270,80,1242000,388000
